DMA,Income before taxes,Age of reference person,People,Children under 18,Adults 65 and older,Earners,Vehicles,Percent homeowner,Average annual expenditures,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,Alcoholic beverages,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,Apparel and services,Transportation,Vehicle purchases (net outlay),"Gasoline, other fuels, and motor oil",Other vehicle expenses,Public and other transportation,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security,Average Weekly,Right_DMA,Name,DMA Name,Area,Latitude,Longitude,Country,Population 18+,Household Count,Med HHld Income,HHlds No Vehicles,HHlds 1-2 Vehicles,HHlds 2+ Vehicles,HHld Exp - Public Transport,HHld Exp - Intercity Bus Fare,HHld Exp - Mass Transit,HHld Exp - Taxi,HHld Exp - Other Public Transportation,White,African American,American Indian,Asian,Hawaiian/Pacific Islander,Other Race,Multi-Race,Hispanic
Anchorage,96094,49.1,2.6,0.6,0.3,1.5,2.5,60,71606,8306,5284,655,1073,502,992,2062,3022,788,23039,14231,7966,5342,924,4590,1407,719,2092,1648,12446,5850,2307,2780,1510,4557,4346,778,121,1523,482,1526,1867,10179,455,9724,,743,Anchorage,Anchorage,42779.71605,61.06396,-149.14639,United States,340682,168610,84630,9007,48625,110978,948.78,27.87,163.45,36.41,109.79,305538,19141,23463,30751,4389,1070,42575,34155
Atlanta,90502,47.7,2.7,0.8,0.3,1.4,1.8,61,62250,6683,3699,443,890,344,672,1351,2984,385,20965,12346,7292,4177,877,4363,1728,624,1904,1874,11747,5287,2494,3307,660,4447,3000,670,87,1319,222,771,1945,8136,327,7808,,524,Atlanta,Atlanta,17797.67079,33.25012,-84.33356,United States,5262308,2619317,62663,144131,820362,1654824,816.73,24,140.76,31.32,94.57,3637619,2135064,13996,376766,2584,23444,119742,741050
Baltimore,91988,52.1,2.5,0.6,0.4,1.4,1.9,70,69126,8964,4443,551,956,428,1008,1499,4521,724,23247,14800,9582,4200,1018,4021,1864,654,1908,1914,11049,5491,2117,2590,851,4926,3068,861,160,1617,270,913,1502,9910,472,9439,,512,Baltimore,Baltimore,3870.2154,39.1505,-75.90816,United States,2314857,1175185,78919,122409,378241,674535,981.95,28.91,168.89,37.64,114.21,1757353,832437,7196,167623,1278,3179,68393,166900
Boston,95276,49.6,2.2,0.5,0.4,1.3,1.6,55,74316,8264,5108,712,1033,519,1080,1764,3156,823,29015,18887,11069,6230,1588,4125,2217,629,3157,2134,8463,2961,1746,2678,1077,5261,3844,741,96,3101,344,1251,2665,8314,332,7982,,506,Boston-Manchester,Boston,9605.6761,42.69416,-71.74831,United States,5275113,2598094,83728,298235,890522,1409337,1070.73,31.56,184.05,41.05,124.68,4958971,470299,8963,464940,1351,37039,105921,639989
Chicago,76639,49.9,2.5,0.6,0.4,1.3,1.6,63,60582,8170,4518,539,977,453,954,1595,3652,509,21254,13546,8455,4209,882,3755,1417,692,1844,1987,7717,2850,1770,2323,774,5154,3328,958,129,1673,216,1034,1685,6768,303,6465,14769,602,Chicago,Chicago,9445.52423,41.3114,-87.8268,United States,7362731,3695954,69122,434676,1277861,1983417,922.09,27.16,158.65,35.34,107.3,5172037,1607623,14084,640235,2073,13959,152385,2103544
Dallas-Ft.Worth,78842,46.9,2.5,0.6,0.2,1.4,1.6,53,63207,6571,3433,393,846,299,665,1230,3139,576,22350,13869,6646,6506,717,4182,1460,736,2103,2353,10507,4482,2117,3336,572,4479,3333,778,110,1662,230,1150,1517,7592,245,7348,16387.31,623,Dallas-Ft.Worth,Dallas-Ft.Worth,26400.16519,32.27791,-96.82837,United States,5922749,2944691,65788,126445,942743,1875503,865.65,25.43,149.2,33.22,100.11,3993609,1203746,33169,502550,6372,15190,136839,2210533
Denver,105790,46.7,2.5,0.6,0.3,1.5,2,62,74088,8855,5057,622,1127,502,1047,1758,3798,771,25059,15452,8388,5727,1337,4015,1910,962,2720,2387,11841,5261,2028,3218,1334,6046,4340,1215,141,1430,310,1178,2397,8119,317,7802,10760.14,751,Denver,Denver,117004.67874,40.24775,-104.60933,United States,3477905,1770802,72201,89766,517837,1163199,937.11,27.54,161.41,35.95,108.52,3108802,188034,21410,161234,3649,12394,91422,960115
Detroit,80928,52.9,2.4,0.5,0.4,1.3,1.9,66,60183,7397,4113,563,887,392,809,1463,3284,658,18794,10429,6223,3361,846,4131,1515,713,2006,2102,10426,3409,1943,4307,768,5079,3002,848,94,1531,551,977,1526,7199,546,6653,,505,Detroit,Detroit,6210.83278,42.707,-83.2883,United States,3751712,1978134,59574,163801,687209,1127124,805.97,23.72,138.74,30.86,93.8,3294702,1011116,13578,224770,928,4931,105921,221980
Honolulu,93672,53,2.7,0.6,0.5,1.4,1.7,54,65099,10036,5161,511,1349,413,1071,1816,4875,658,24355,16502,6982,8769,751,4203,1441,716,1492,1667,7391,1954,1794,2156,1488,3977,3285,705,77,1820,101,597,3512,6919,251,6668,,744,Honolulu,Honolulu,6444.98093,19.58962,-155.43366,United States,1101153,490076,79293,40653,164346,285077,935.31,27.58,160.7,35.87,108.84,315779,29473,2598,524334,101863,1658,310985,144667
Houston,80250,46.8,2.8,0.8,0.3,1.4,1.7,59,67304,9153,4491,568,1087,373,905,1558,4662,650,21818,12823,7138,4915,771,4226,1526,808,2436,2606,12232,5469,2241,3732,790,4517,3413,844,93,1474,260,974,2093,7177,252,6926,22827.14,618,Houston,Houston,17857.22795,29.97815,-95.64598,United States,5322932,2628496,64432,128707,865053,1634736,882.22,25.92,152.06,33.86,102.06,2804395,1233812,18094,543532,3474,18175,100138,2618888
